latencia_mediana,latencia_std,mfcc_mediana_1,mfcc_std_1,mfcc_mediana_2,mfcc_std_2,mfcc_mediana_3,mfcc_std_3,mfcc_mediana_4,mfcc_std_4,mfcc_mediana_5,mfcc_std_5,mfcc_mediana_6,mfcc_std_6,mfcc_mediana_7,mfcc_std_7,mfcc_mediana_8,mfcc_std_8,mfcc_mediana_9,mfcc_std_9,mfcc_mediana_10,mfcc_std_10,mfcc_mediana_11,mfcc_std_11,mfcc_mediana_12,mfcc_std_12,anon_id,label,split
3.3999999999999915,1.0159788470984432,-133.556,97.38678,77.26015,33.522854,41.30841,30.676868,18.063284,19.347343,-1.2706606,18.122082,4.381309,16.039806,3.2040691,11.248307,2.4012122,12.471492,-1.3577973,9.926036,0.9754733,9.999437,-0.6846104,9.5630455,1.4199936,9.789584,call_0181ce113ebe_orig,synthetic,train
3.3999999999999915,1.0159788470984432,-100.173416,79.00485,91.05946,28.14699,43.40231,29.998756,7.615031,15.494639,-4.6932673,20.478456,4.647799,11.946155,2.238573,14.422121,-1.6755008,9.995532,-1.5677586,10.771384,-0.14162207,9.434942,-0.057487123,9.390391,-1.2252233,10.220101,call_0181ce113ebe_agudo,synthetic,train
3.3999999999999915,1.0159788470984432,-121.39072,72.9754,83.86917,31.385302,32.666992,24.456291,38.35386,20.106579,-6.6437273,13.811296,11.042958,17.414946,-7.961787,10.454375,12.701413,10.198316,-7.629668,9.73689,8.33039,9.153587,-7.212118,8.925791,6.4833074,8.134215,call_0181ce113ebe_grave,synthetic,train
3.3999999999999915,1.0159788470984432,-115.5806,68.29711,64.44731,31.742191,36.494705,24.368298,17.881947,15.897655,2.090413,15.627571,3.4695897,13.723097,3.1177003,9.489757,1.9085178,10.183424,-0.29433173,8.767772,0.67006135,8.819838,-0.23778474,8.319428,0.9892446,8.624194,call_0181ce113ebe_ruido,synthetic,train
3.3599999999999994,3.3959105235597242,-75.34882,144.44315,51.815643,34.26108,24.084593,31.042656,21.614594,20.954653,3.897636,18.88652,6.858886,20.01847,-3.778233,11.8112335,2.0665147,10.166771,-7.0852785,10.853992,0.90233904,8.398581,-5.149809,9.536073,1.3599708,7.631963,call_018c9d3823ac_orig,synthetic,train
3.3599999999999994,3.3959105235597242,-46.71846,126.13344,54.69831,26.349564,31.512594,32.49684,16.860916,14.093375,1.4649942,18.7918,-3.6177824,16.02856,-5.1918716,12.450843,-5.296009,11.269335,-3.558702,8.925804,-1.010032,10.521599,-0.87022245,6.894653,-0.21212414,7.670129,call_018c9d3823ac_agudo,synthetic,train
3.3599999999999994,3.3959105235597242,-59.0657,117.85736,61.998936,32.367973,11.572441,21.514132,39.087658,23.502502,-1.652473,13.600374,23.373123,16.749409,-9.927448,14.704328,12.889681,8.12571,-10.541903,9.101353,5.15251,9.069899,-7.2602935,7.147874,2.659357,8.32825,call_018c9d3823ac_grave,synthetic,train
3.3599999999999994,3.3959105235597242,-73.77023,107.57661,47.381042,32.950283,22.941925,28.409529,20.974022,20.132326,3.9236946,16.764864,5.1803684,18.832277,-3.2489827,10.509787,1.5702763,8.99747,-5.857233,10.369921,0.117501274,8.062537,-3.9273906,8.998323,0.97082144,6.9834867,call_018c9d3823ac_ruido,synthetic,train
5.929999999999997,5.040148531761956,-117.38665,95.06268,69.80002,31.447783,26.59576,36.921318,9.158851,17.39646,-17.938377,22.584372,1.4676098,15.017992,-7.744973,14.742533,-1.5908921,10.269736,-8.683974,10.96175,-0.48593634,10.004709,-6.1698875,9.292379,-2.302931,9.226018,call_01bf49059daf_orig,synthetic,train
5.929999999999997,5.040148531761956,-88.105034,80.20955,69.55615,25.571962,27.570496,36.146404,-13.123512,16.662453,-17.336475,20.69739,-2.7829936,13.933161,-8.930105,14.171994,-6.9369745,9.773555,-5.8441772,11.281962,-4.656803,9.803495,-6.897273,10.0644245,-4.1046705,12.053279,call_01bf49059daf_agudo,synthetic,train
