anon_id,label,split,lfcc_mediana_1,lfcc_std_1,lfcc_mediana_2,lfcc_std_2,lfcc_mediana_3,lfcc_std_3,lfcc_mediana_4,lfcc_std_4,lfcc_mediana_5,lfcc_std_5,lfcc_mediana_6,lfcc_std_6,lfcc_mediana_7,lfcc_std_7,lfcc_mediana_8,lfcc_std_8,lfcc_mediana_9,lfcc_std_9,lfcc_mediana_10,lfcc_std_10,lfcc_mediana_11,lfcc_std_11,lfcc_mediana_12,lfcc_std_12,cpp,inclinacion_espectral,vocoder_periodicity_peak,latencia_mediana,latencia_varianza,latencia_cv,pct_respuestas_cortas
call_0181ce113ebe,synthetic,train,5.730369561618782,4.348407178614467,3.9613799285176943,2.760370321400638,2.879238344954789,2.291976353728923,1.425743749898678,1.7787727847364754,1.019780536857445,1.7033599206561716,0.12246228805475143,1.6029644197258959,0.3361867201940022,1.3339313311678098,-0.1287882077939193,1.0956465305973175,0.5647291252049775,0.9325491363374994,0.05683795508915579,0.7845376989082945,0.2937853294558642,0.6960597489197545,-0.060521031806543474,0.6038864882641086,0.17268571952240025,18.968492468064476,1085.2272409044565,3.0720000000000027,0.3195891358024681,0.18402413809584944,0.0
call_018c9d3823ac,synthetic,train,5.693808603041367,4.351204647882035,2.3523952656927185,2.541506127091951,2.5839311914923213,2.8889095942931897,0.9303428741926615,1.8732758963949019,2.0451152832068997,1.7047829322896624,0.39793121608068893,1.6730578355789532,0.6450519342248852,1.5277151249409215,0.10183796508320075,1.1832883384604072,0.26241581677624204,1.004912249228036,0.06467082850884073,0.7619327704859841,0.08351597736721403,0.6955623538776153,-0.12243891255988504,0.668978917000557,0.17274990099463033,15.399861072713094,525.6045190028356,0.6400000000000006,2.8578955061728326,2.6414548927848935,44.44444444444444
call_01bf49059daf,synthetic,train,7.413964914403714,4.261043474875526,2.9898479486559335,2.886703202177379,3.7780715118920547,2.910062980137261,0.9040478645482161,1.8734410365231402,0.5586837851810585,1.830379713222717,-0.20310655189641497,1.882815313446355,0.22612461650941887,1.3012888455404543,-0.4319502544365489,1.0337513035965349,0.39127700237840274,0.936599169109498,-0.15243795159556559,0.7564362325958506,-0.05080327393996387,0.7149753130513707,-0.18928741347959305,0.6720238442041334,0.22081063590351113,17.917503290895297,231.65346647415296,3.8399999999999874,3.5192831999999994,0.48853522561496854,10.0
call_01c3806808d6,synthetic,train,6.173718941076754,4.725724897836389,3.7120760456675415,4.023879035599594,2.8295064028517665,2.83919509142462,-0.3784255515223863,2.1220301447617844,0.48012262447583975,1.932976273672872,-1.3834160916190987,1.5098357662146946,0.015437266945343309,1.2473494866427386,-1.0000702445200014,1.1081906854442443,0.036941249793487355,0.9426395765157446,-0.4502666472351905,0.8081258683742588,-0.049511777996142425,0.7642191443189862,-0.33193988471397473,0.7154945279885806,0.20987606763922476,13.392619906421714,112.37794957506831,2.176000000000002,1.1315073580246935,0.48884344970758575,11.11111111111111
call_0294f969f98b,synthetic,val,5.535151495638295,4.873218854360328,0.07838313231858446,3.6816138056137366,2.3273937539254685,3.1986207691457627,-0.251587083309025,2.316303042728464,1.2131167137478291,2.0439220633711583,0.8215258912280257,1.6197383138018822,0.2591061347004773,1.5800243147271653,0.11334655463889728,1.4929052629870012,0.3684230385430959,1.0970027983059358,-0.03148143655044437,0.889091870159814,0.14675474584623094,0.801612829551921,-0.10229050547591498,0.6794642850014163,0.14555080020205613,13.957798136396768,235.7154007634912,0.38400000000000034,4.330950437869816,5.4195144994361675,53.84615384615385
call_02c249d2f89d,synthetic,train,6.213826762703859,4.5978206944343825,1.3116334631894142,2.587840459794752,3.593558416644989,1.7858171550330781,1.4541791334685596,1.884609547655863,1.220358435528731,1.6526866665750026,1.4149019171018464,1.620833152205274,1.2027710590107312,1.4278801323669001,0.25280559137169506,1.2322398904087657,0.5570511509415459,1.0727415516074073,0.10089668386383452,0.9350334076055683,0.23782776330947714,0.7553733822688143,-0.02792399154472227,0.6740968998182058,0.13622733986898988,15.2150636657747,957.6556852953881,2.239999999999995,1.7282211597633115,0.5868831501281669,23.076923076923077
call_02d28871d7b3,synthetic,train,7.639046060570849,4.704455740686744,1.7545525397776167,3.0771600819434006,4.081967483613239,2.898983255322177,0.5385830031474652,2.138550193633404,1.5859570770964644,1.9030569504227093,-0.36336546851674784,1.9601472633531445,-0.026800772518491528,1.4507188460627447,-0.43654039091722374,1.1967450139333018,0.05514663945890655,0.9594746885605294,-0.21383029854843028,0.8732902797027752,-0.06445607122812495,0.7715351542660852,-0.0211089472743927,0.7211231296803415,0.2292210834727149,18.102853399092346,112.46003261520916,2.8800000000000026,1.4740543209876524,0.4215647179991073,11.11111111111111
call_03680846967f,synthetic,train,6.605350411216499,4.221491449903505,3.660582920142879,2.923639071355748,2.1374993540191385,2.3627728816219067,1.3292990048249287,1.994001648564633,0.897748859714109,1.6734477689777005,0.03946225812693899,1.5713764201252989,0.280230292333301,1.3986201250602732,-0.18476105602684695,1.1267505905630946,0.5299197823197855,0.9508811288766824,-0.02368990882343565,0.8088399799962419,0.241001949352347,0.7015086966717353,-0.0973077248958607,0.6215910051529456,0.18239159288130904,18.56096972213595,1238.0226992949993,1.9200000000000017,3.897589759999999,1.0282455392020364,10.0
call_04d682ac0cef,human,train,11.573971615746567,3.0458015422424083,2.0423064849308084,2.454749510446121,1.9679209169065448,1.7750850942058807,0.7976906449766347,1.687660413294977,0.39912422480342974,1.4263652182952455,1.717263681137171,1.3109079163333393,1.3028500456870147,1.1521453006453726,0.6326030338503535,1.0117956433940347,0.632637493433496,0.8863911476666922,0.4012996857162977,0.734564850333647,0.2501050448846319,0.6448961756138892,0.20152387643413638,0.5708355809616514,0.14712797333052205,23.71635880158653,2851.880332375919,0.8639999999999972,0.29659136000000086,0.6303264118371824,10.0
call_05d6615469e1,synthetic,train,7.180753007561747,4.48296959797462,0.36320259990711046,2.970423684894977,2.600715338084222,2.813020800460713,0.36212406419989346,1.6632361104668714,1.6105528108171472,1.7233986784931365,0.38034909899650715,1.6550546172491025,0.5755026570521824,1.3795059768430018,0.21340509771604738,1.0385339762515748,0.31867714224438193,0.9183974173471128,0.07433702598489753,0.8020496809410023,0.2597228722909125,0.6429643951530001,0.07406610164957828,0.6251785880533028,0.22588342642337025,16.719633310472013,363.1313183430825,2.176000000000016,0.6169283950617243,0.3609595103655929,0.0
call_0615c3630150,human,train,8.020743429266439,5.427720705134265,-0.7591004841410725,3.211295311510857,2.6317957951592135,3.1367821902466537,1.4553039820160727,2.482487363279262,0.9396867427048821,1.972792410556364,0.6480779981088975,1.6707618256010985,0.4598527771731512,1.5403064025930777,0.23489402904951096,1.3427254248665108,0.2565120941647569,1.098355976910204,-0.14582018257174917,0.9394359026382048,-0.09056716232917927,0.8537091913863746,-0.2626156471538842,0.7379676434563689,0.1898841185266843,12.536498714287966,300.3533194425532,-0.8000000000000078,2.3617536000000006,,75.0
