anon_id,label,split,duracion_s,silencio_pct,c0_voz_db,c0_silencio_db,c0_snr_db,c0_ceros_pct,c0_saturado_pct,c0_dc,c0_valores_distintos,c0_pico,c0_voz_graves_pct,c0_voz_agudos_pct,c0_voz_centroide_hz,c0_silencio_graves_pct,c0_silencio_agudos_pct,c0_silencio_centroide_hz,c0_silencio_inclinacion_db,c1_voz_db,c1_silencio_db,c1_snr_db,c1_ceros_pct,c1_saturado_pct,c1_dc,c1_valores_distintos,c1_pico,c1_voz_graves_pct,c1_voz_agudos_pct,c1_voz_centroide_hz,c1_silencio_graves_pct,c1_silencio_agudos_pct,c1_silencio_centroide_hz,c1_silencio_inclinacion_db,c0_eco_db,agente_pct,agente_turnos_min,agente_turno_mediana_s,agente_latencia_mediana_s,agente_interrupciones_min,llamante_latencia_mediana_s
call_0181ce113ebe,synthetic,train,170.22,21.806999765009987,-26.600468,-72.243645,45.643177,0.1377294508669547,0.0012865409801898421,4.23778345670309,252,32124,39.090237,0.0130983,460.00746054594924,8.080294,13.995866,1938.3460210588025,0.6227188,-21.758286,-59.14479,37.386505,5.032681279233834,0.0,-1.8632387498531313,248,30076,19.624512,0.0038072434,627.2955207303673,48.523678,0.11520999,651.5312597036559,14.493446,0.0,42.1219598167078,6.6972153683468445,4.039999999999992,1.8400000000000034,0.0,3.2600000000000193
call_018c9d3823ac,synthetic,train,128.22,15.769770706598035,-12.709552,-72.243645,59.534092,0.15207715133531155,0.11822014585232452,2.719946186242396,255,32124,25.627607,0.020891815,517.5044961147486,8.488966,13.81285,1928.1585202473398,0.6134796,-21.734207,-59.114338,37.38013,5.090875370919881,0.0,-2.160383520511621,250,28028,21.473082,0.0034687219,614.9890862075333,53.087196,0.08450543,567.4080014529172,16.612106,0.0,45.437529246607404,6.551240056153486,2.07,1.4599999999999937,0.0,0.9200000000000017
call_01bf49059daf,synthetic,train,215.9,19.444187123668367,-15.656721,-72.243645,56.58692,0.19443782753692235,0.002555192150449714,3.1188420565076425,255,32124,22.358145,0.006456567,598.6453120574153,8.086793,14.027129,1941.0096092221925,0.5534897,-22.371334,-57.804127,35.432793,4.334504525964745,0.0,-1.8206183418249189,247,28028,23.802078,0.0034536119,592.0519891848437,47.534138,0.07744403,592.5792919618599,17.680176,0.0,40.194534506716096,6.66975451597962,2.719999999999997,1.6399999999999864,0.0,3.969999999999999
call_01c3806808d6,synthetic,train,149.12,24.946268106223176,-16.755564,-72.243645,55.488083,0.3084687784569169,0.0,4.7701482027896995,248,29052,6.475759,0.00570785,849.5033769146957,8.32441,13.753204,1927.9444370684828,0.6811905,-22.247646,-58.056244,35.808598,4.503375347363399,0.0,-1.901300965665236,241,25980,23.376743,0.0035859183,601.5313412894826,43.443394,0.101325445,699.4308621685772,15.115738,0.0,49.061158798283245,9.254291845493562,1.8800000000000001,2.019999999999996,0.0,2.6599999999999966
call_0294f969f98b,synthetic,val,108.78,23.49696635410921,-13.625841,-72.243645,58.617805,0.6435837245696401,0.04505813953488372,4.382225592939879,251,32124,50.426235,0.028043298,516.0700294984281,85.14396,0.051133312,329.64243544421004,6.4817886,-21.682817,-59.263336,37.58052,5.414221439749609,0.0,-2.2594916344916345,246,27004,20.099113,0.0035639084,607.2764169812482,50.613728,0.08052193,552.7959656884841,16.70916,0.0,51.204265489979804,11.031439602868174,2.449999999999999,1.7000000000000028,0.0,1.7399999999999949
call_02c249d2f89d,synthetic,train,145.94,21.926733589146224,-15.150119,-72.243645,57.093525,0.15507873077629208,0.008029942764352408,3.6512470878443195,255,32124,69.28518,0.0066912365,270.5796440492184,8.147864,13.776992,1932.3737612617535,0.64183044,-22.525154,-58.94483,36.419678,4.781268676830769,0.0,-1.9165864396327257,245,28028,21.246643,0.0033539445,588.1755927174881,46.348633,0.10223787,666.0815061149121,15.171333,0.0,50.17130327531857,9.45594079758805,2.9799999999999995,1.6400000000000006,0.8222557215293956,2.3000000000000114
call_02d28871d7b3,synthetic,train,146.66,23.48280035456157,-13.502514,-72.243645,58.74113,0.15715794555003468,0.008938393839383938,4.070936178917224,255,32124,39.086143,0.0032922565,513.6863123890813,19.749779,12.017783,1709.8133413950736,1.5106125,-21.572357,-60.725285,39.152927,5.928810717228213,0.0,-2.163579026319378,248,30076,21.123856,0.003642423,606.567878573203,51.514404,0.10464535,546.8793119033126,17.32737,0.0,44.06109368607664,5.727533069684986,3.4699999999999998,1.5699999999999967,0.0,3.0799999999999983
call_03680846967f,synthetic,train,173.84,13.897837091578463,-25.900913,-72.243645,46.34273,0.12779387417218543,0.0016600265604249668,3.2098164979291304,255,32124,38.628395,0.007633341,472.0456852171157,11.329984,13.293102,1858.4643365931718,0.92417145,-22.0472,-59.461708,37.41451,5.166597682119205,0.0,-2.1117349286700415,244,28028,21.576801,0.0035672835,584.5055539977086,48.143246,0.07910045,567.0348137026048,18.378784,0.0,37.827887712839434,4.486884491486424,3.980000000000004,1.6500000000000057,0.34514496088357105,2.019999999999996
call_04d682ac0cef,human,train,185.46,8.788889787555268,-14.79535,-72.243645,57.448296,0.47546376889393327,0.005709500609013398,1.7389814515259354,240,32124,29.423365,0.0121951355,416.20463668007795,23.094334,3.1000845,849.6397567334383,9.274277,-22.346191,-59.71027,37.36408,6.639621469489796,0.0,-2.276299471584169,240,24956,20.756117,0.0036195663,600.571879683477,56.343853,0.10402638,573.3889854757147,15.448204,0.0,64.27261943276176,10.35263668715626,2.609999999999985,1.0999999999999996,0.0,1.0299999999999976
call_05d6615469e1,synthetic,train,168.76,16.674567433041005,-23.566505,-72.243645,48.67714,0.10660980810234541,0.0,3.010959350557004,210,19836,36.828613,0.00510887,516.4065546379029,8.3404875,13.688944,1922.1347426229597,0.7611847,-21.972696,-60.058346,38.085648,5.250533049040511,0.0008212877792378449,-1.7907027731689973,253,32124,20.111748,0.0036650747,604.2427641103773,51.639812,0.1077448,617.8813357913897,15.283447,0.0,36.07489926522874,6.755155250059256,2.16,1.5600000000000023,1.066603460535672,2.3799999999999883
call_0615c3630150,human,train,146.14,8.525985356507459,-25.994251,-72.243645,46.249393,0.40028491457578824,0.0,3.2035787600930616,245,29052,7.7533426,0.20190819,853.1771739007528,2.5540895,0.8241009,1142.4482948865343,8.93988,-21.820631,-58.32611,36.505478,4.8937088052649,0.0,-1.9855173121664158,246,29052,19.272758,0.003622052,624.1779155484274,44.71332,0.0871265,631.0188974366986,16.179024,0.0,60.81839332147258,7.39017380593951,4.01,0.990000000000002,0.8211304228821678,-0.8100000000000023
